Kept_idx,Orig_idx,Row,Col,Score
263,319,9,31,0.51161283
343,399,12,15,0.508717
234,276,8,20,0.5085498
449,533,16,21,0.5067357
416,500,15,20,0.50585705
175,217,6,25,0.5054829
292,348,10,28,0.504981
524,857,26,25,0.5042981
542,987,30,27,0.50316006
379,463,14,15,0.50177014
330,386,12,2,0.50125426
199,241,7,17,0.50122494
503,668,20,28,0.49839056
363,433,13,17,0.49825084
135,177,5,17,0.49764585
141,183,5,23,0.4964886
534,923,28,27,0.4941851
173,215,6,23,0.49316576
20,20,0,20,0.49227342
61,61,1,29,0.49145192
55,55,1,23,0.49108812
448,532,16,20,0.4902068
346,402,12,18,0.49012008
197,239,7,15,0.4858976
544,1017,31,25,0.48438558
382,466,14,18,0.48316938
149,191,5,31,0.48306575
505,698,21,26,0.48231038
291,347,10,27,0.48007068
49,49,1,17,0.47836405
306,362,11,10,0.47822005
327,383,11,31,0.4758024
371,441,13,25,0.47309572
131,159,4,31,0.4698625
77,77,2,13,0.46800438
165,207,6,15,0.46725082
356,412,12,28,0.4664417
380,464,14,16,0.46635842
23,23,0,23,0.46552527
184,226,7,2,0.46424285
237,279,8,23,0.4638773
381,465,14,17,0.46296448
298,354,11,2,0.46209604
220,262,8,6,0.46160188
481,565,17,21,0.46005398
344,400,12,16,0.45969397
545,1018,31,26,0.45736486
281,337,10,17,0.45707002
479,563,17,19,0.45602527
223,265,8,9,0.4557096
117,145,4,17,0.4552377
420,504,15,24,0.4543792
338,394,12,10,0.45407483
512,761,23,25,0.4531575
90,90,2,26,0.4506048
152,194,6,2,0.4498163
123,151,4,23,0.44880405
486,570,17,26,0.44785595
324,380,11,28,0.4464347
425,509,15,29,0.4455985
299,355,11,3,0.44465566
411,495,15,15,0.4444687
513,762,23,26,0.4440995
259,315,9,27,0.44333383
217,259,8,3,0.44217852
398,482,15,2,0.44193864
97,111,3,15,0.4414726
316,372,11,20,0.44051975
336,392,12,8,0.44009355
376,446,13,30,0.43982658
282,338,10,18,0.4396497
